timestamp,worker_x,center_x,confidence,note
2025-04-04 09:33:34,405.89,406.22,0.89,ignored (worker)
2025-04-04 09:33:35,405.89,406.62,0.9,ignored (worker)
2025-04-04 09:33:35,405.89,369.42,0.66,triggered
2025-04-04 09:33:36,405.89,407.44,0.9,ignored (worker)
2025-04-04 09:33:36,405.89,370.68,0.68,triggered
2025-04-04 09:33:37,405.89,408.19,0.9,ignored (worker)
2025-04-04 09:33:37,405.89,372.83,0.68,triggered
2025-04-04 09:33:38,405.89,391.1,0.87,triggered
2025-04-04 09:33:39,405.89,376.52,0.81,triggered
2025-04-04 09:33:42,405.89,428.04,0.88,triggered
2025-04-04 09:33:43,405.89,426.96,0.9,triggered
2025-04-04 09:33:44,405.89,426.14,0.91,triggered
2025-04-04 09:33:45,405.89,424.44,0.91,triggered
2025-04-04 09:33:48,405.89,425.58,0.88,triggered
2025-04-04 09:33:49,405.89,424.13,0.88,triggered
2025-04-04 09:33:51,405.89,426.27,0.9,triggered
2025-04-04 09:33:52,405.89,424.12,0.89,triggered
2025-04-04 09:33:53,405.89,424.97,0.91,triggered
2025-04-04 09:33:55,405.89,425.11,0.91,triggered
2025-04-04 09:33:56,405.89,426.99,0.9,triggered
2025-04-04 09:33:57,405.89,410.05,0.86,ignored (worker)
2025-04-04 09:33:57,405.89,377.3,0.54,triggered
2025-04-04 09:33:58,405.89,406.4,0.87,ignored (worker)
2025-04-04 09:33:58,405.89,377.52,0.53,triggered
2025-04-04 09:33:59,405.89,402.42,0.86,ignored (worker)
2025-04-04 09:34:00,405.89,416.45,0.87,triggered
2025-04-04 09:34:01,405.89,423.92,0.88,triggered
2025-04-04 09:34:02,405.89,424.61,0.87,triggered
2025-04-04 09:34:03,405.89,425.04,0.88,triggered
2025-04-04 09:34:04,405.89,425.22,0.87,triggered
2025-04-04 09:34:08,405.89,340.09,0.87,triggered
2025-04-04 09:34:09,405.89,302.66,0.92,triggered
2025-04-04 09:34:10,405.89,297.77,0.9,triggered
